Artikel-Nr.,  Artikelbezeichnung,EAN-Code,Preis Netto €,UVP (inkl. MwSt)  € ,Bestell Menge
,,,,,
,,,,,
,Make-up / Puder,,,,
,,,,,
,,,,,
327-01,Diamond Glow Compact Highlighter   Nr.1,4019954327015,13.47,27.00,
,,,,,
,,,,,
327-01-T,Diamond GlowCompact Highlighter T Nr.1,4019954900751,2.86,,
,,,,,
,,,,,
327-02,Diamond Glow Compact Highlighter   Nr.2,4019954327022,13.47,27.00,
,,,,,
,,,,,
327-02-T,Diamond GlowCompact Highlighter T Nr.2,4019954900768,2.86,,
,,,,,
,,,,,
327-03,Diamond Glow Compact Highlighter   Nr.3,4019954327039,13.47,27.00,
,,,,,
,,,,,
327-03-T,Diamond GlowCompact Highlighter T Nr.3,4019954900775,2.86,,
,,,,,
,,,,,
,,,,,
,,,,,
400-09-T,Blush On Puder Rouge Tester Nr. 09*,4019954901529,3.99,,
,,,,,
,,,,,
400-11-T,Blush On Puder Rouge Tester Nr. 11*,4019954901505,3.99,,
,,,,,
,,,,,
400-12-T,Blush On Puder Rouge Tester Nr. 12*,4019954901499,3.99,,
,,,,,
,,,,,
400-13-T,Blush On Puder Rouge Tester Nr. 13*,4019954901482,3.99,,
,,,,,
,,,,,
,,,,,
,,,,,
401-01,Bubble Blush Rouge Nr. 01,4019954401012,13.39,26.80,
,,,,,
,,,,,
401-01-T,Bubble Blush Rouge Tester Nr. 01,4019954907262,3.70,,
,,,,,
,,,,,
401-02,Bubble Blush Rouge Nr. 02,4019954401029,13.39,26.80,
,,,,,
,,,,,
401-02-T,Bubble Blush Rouge Tester Nr. 02,4019954907279,3.70,,
,,,,,
,,,,,
,,,,,
,,,,,
402-01,Dream Blush Rouge Nr. 01,4019954402019,10.70,21.40,
,,,,,
,,,,,
402-01-T,Dream Blush Rouge Tester Nr. 01,4019954907705,5.05,,
,,,,,
,,,,,
402-02,Dream Blush Rouge Nr. 02,4019954402026,10.70,21.40,
,,,,,
,,,,,
402-02-T,Dream Blush Rouge Tester Nr. 02,4019954907712,5.05,,
,,,,,
,,,,,
402-03,Dream Blush Rouge Nr. 03,4019954402033,10.70,21.40,
,,,,,
